id,name,from,to,age_from,age_to,height_cm,weight_kg,gp,w,l,total_shots,sv%,best_year,min,qs,bs,qual_r,Brad Park,Denis Potvin,Guy Lapointe,Larry Robinson,Borje Salming,Viacheslov Fetisov,Rod Langway,Ray Bourque,Paul Coffey,Larry Murphy,Al MacInnis,Scott Stevens,Brian Leetch,Mark Howe,Chris Chelios,Scott Niedermayer,Rob Blake,Phil Housley,Nicklas Lidstrom,Chris Pronger,Drew Doughty,Erik Karlsson,Duncan Keith,P.K. Subban,Zdeno Chara
154,Steve Passmore,1999,2004,26,31,175,75,93,23,44,2245,0.895,0.0,5045,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
155,Ondrej Pavelec,2008,2016,20,28,190,97,371,148,154,10751,0.907,0.92,20958,163,61,2.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
156,Pete Peeters,1979,1991,,33,185,88,489,246,155,7499,0.882,0.898,27699,,,,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
157,Steve Penney,1984,1988,22,26,185,86,91,35,38,2226,0.859,0.876,5194,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
158,Justin Peters,2010,2017,23,30,185,95,83,25,38,2313,0.901,0.0,4482,30,12,2.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Frank Pietrangelo,1988,1994,23,29,177,84,141,46,59,3845,0.873,0.858,7141,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,Felix Potvin,1992,2004,20,32,185,86,635,266,260,17864,0.905,0.91,36765,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
161,Carey Price,2008,2017,20,29,190,102,454,240,155,13495,0.920,0.933,26764,263,55,4.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
162,Daren Puppa,1986,2000,20,34,193,93,429,179,161,11680,0.897,0.918,23819,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
163,Jonathan Quick,2008,2017,22,31,185,99,476,252,162,12486,0.916,0.929,27860,258,68,3.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
164,Karri Ramo,2007,2016,20,29,187,93,159,60,63,4388,0.906,0.912,8721,72,21,3.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Bill Ranford,1986,2000,19,33,180,84,647,240,279,18269,0.888,0.898,35936,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
166,Tuukka Rask,2008,2017,20,29,190,80,338,174,104,9556,0.925,0.931,19404,205,41,5.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,Andrew Raycroft,2001,2012,20,31,185,80,280,113,114,7339,0.900,0.926,15191,34,17,2.000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
168,Pokey Reddick,1987,1994,22,29,172,77,132,46,58,3487,0.873,0.881,7162,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Jeff Reese,1988,1999,21,32,175,81,174,53,65,4381,0.879,0.868,8667,,,,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
170,James Reimer,2011,2017,22,28,187,98,219,93,79,6446,0.914,0.924,11905,103,36,2.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Glenn Resch,1974,1987,,38,175,75,571,231,224,4232,0.867,0.871,32279,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172,Damian Rhodes,1991,2002,21,32,180,88,309,99,140,8105,0.899,0.907,17339,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Mike Richter,1990,2003,23,36,180,84,666,301,258,19219,0.904,0.917,38183,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
174,Vincent Riendeau,1988,1995,21,28,177,84,184,85,65,4786,0.880,0.892,10423,,,,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
175,Pat Riggin,1980,1988,,28,175,77,350,153,120,4789,0.879,0.89,19872,,,,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Pekka Rinne,2006,2017,23,34,195,98,456,240,140,12652,0.917,0.93,26377,255,70,3.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177,Dwayne Roloson,1997,2012,27,42,185,77,606,227,257,16942,0.908,0.933,34297,119,43,2.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
178,Roberto Romano,1983,1994,,31,167,77,126,46,63,3800,0.881,0.886,7111,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Dominic Roussel,1992,2001,21,,185,90,205,77,70,5299,0.895,,10665,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180,Patrick Roy,1985,2003,19,37,187,84,1029,551,315,28353,0.910,0.925,60235,,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
181,Tommy Salo,1995,2004,23,,180,82,526,210,225,13591,0.905,,30436,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
182,Curtis Sanford,2003,2012,23,32,180,85,144,47,55,3472,0.904,0.911,7354,30,11,2.727,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
183,Bob Sauve,1977,1989,,33,172,79,420,182,154,5494,0.876,0.894,23711,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
184,Cory Schneider,2009,2017,22,30,190,93,279,128,100,7688,0.925,0.937,15932,169,28,6.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Corey Schwab,1996,2004,25,33,182,81,147,42,63,3474,0.896,0.897,7476,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
186,Ben Scrivens,2012,2016,25,29,187,82,144,47,64,4095,0.905,0.922,7957,60,22,2.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
187,Richard Sevigny,1980,1987,,29,172,78,176,80,54,1735,0.867,0.869,9485,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
188,Steve Shields,1996,2006,23,33,190,97,246,80,104,6510,0.907,0.921,13630,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Mikhail Shtalenkov,1994,2000,28,,187,84,190,62,82,4722,0.898,,9966,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Peter Sidorkiewicz,1988,1998,24,34,175,81,246,79,128,6470,0.871,0.89,13881,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
191,Peter Skudra,1998,2003,24,29,185,85,146,51,47,3078,0.894,0.892,7162,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Billy Smith,1972,1989,,38,177,84,680,305,233,5989,0.882,0.896,38431,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Mike Smith,2007,2017,24,34,193,97,421,177,172,12193,0.912,0.93,23993,205,63,3.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Garth Snow,1994,2006,24,36,190,90,368,135,147,9298,0.901,0.918,19837,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Tommy Soderstrom,1993,1997,23,27,170,71,156,45,69,4265,0.884,0.892,8189,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
